chrom	start	end	name	gencode_name	category	shared_both_cohorts	gene_type	strand	length_bp
chr1	74335010	74337149	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2139
chr1	74341841	74344179	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2338
chr1	74344877	74347174	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2297
chr1	74352265	74355129	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2864
chr1	74366255	74371392	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	5137
chr1	74374564	74376848	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2284
chr1	74400838	74402957	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2119
chr1	74417167	74419346	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2179
chr1	74435079	74437526	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2447
chr1	74438064	74440622	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2558
chr1	74462440	74464550	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2110
chr1	74488188	74490248	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2060
chr1	74491096	74493266	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2170
chr1	74539233	74542610	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	3377
chr1	74542905	74545428	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2523
chr1	119910552	119927611	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	17059
chr1	119927975	119930212	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	2237
chr1	119934266	119939010	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	4744
chr1	119939554	119942754	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	3200
chr1	119947413	119951837	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	4424
chr1	119952542	119956232	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	3690
chr1	119958391	119960502	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	2111
chr1	119962573	119970744	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	8171
chr1	119975349	119977352	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	2003
chr1	119985959	119988082	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	2123
chr1	119994860	119998332	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	3472
chr1	120004232	120006588	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	2356
chr1	120028905	120030987	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	2082
chr1	120050483	120052779	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	2296
chr1	120068333	120070662	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	2329
chr1	120071714	120076328	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	4614
chr1	120096179	120101779	NOTCH2	NOTCH2	DRIVER	False	protein_coding	-	5600
chr1	148807139	148809737	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	2598
chr1	148843267	148846467	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	3200
chr1	148862249	148864305	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	2056
chr1	148865410	148871651	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	6241
chr1	148882791	148884942	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	2151
chr1	148886018	148888152	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	2134
chr1	148888402	148890894	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	2492
chr1	148914506	148916750	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	2244
chr1	148928136	148935291	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	7155
chr1	148936746	148943309	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	6563
chr1	148950936	148954905	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	3969
chr1	148959653	148963640	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	3987
chr1	148964483	148970030	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	5547
chr1	148971179	148975605	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	4426
chr1	148976936	148987477	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	10541
chr1	148988183	148990385	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	2202
chr1	148990884	148994882	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	3998
chr1	148997142	148999375	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	2233
chr1	148999600	149022766	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	23166
chr1	149023208	149034019	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	10811
chr1	149045558	149049286	PDE4DIP	PDE4DIP	DRIVER	True	protein_coding	+	3728
chr1	152211075	152225193	HRNR	HRNR	PASSENGER	False	protein_coding	-	14118
chr1	152347734	152361006	FLG2	FLG2	PASSENGER	True	protein_coding	-	13272
chr1	152757024	152763056	KPRP	KPRP	PASSENGER	False	protein_coding	+	6032
chr1	153991689	153996180	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	4491
chr1	153999855	154002985	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	3130
chr1	154008971	154011121	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	2150
chr1	154011243	154013370	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	2127
chr1	154017932	154020069	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	2137
chr1	154021125	154024297	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	3172
chr1	154024541	154028597	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	4056
chr1	154028895	154031054	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	2159
chr1	154045068	154047369	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	2301
chr1	154053227	154062674	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	9447
chr1	154069272	154071465	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	2193
chr1	154088420	154090594	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	2174
chr1	154093934	154096156	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	2222
chr1	154098997	154101143	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	2146
chr1	154103011	154105210	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	2199
chr1	154116724	154119808	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	3084
chr1	154125322	154130345	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	5023
chr1	154134813	154136972	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	2159
chr1	154137105	154144577	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	7472
chr1	154151735	154156116	NUP210L	NUP210L	PASSENGER	False	protein_coding	-	4381
chr1	155334267	155340368	ASH1L	ASH1L	DRIVER	False	protein_coding	-	6101
chr1	155340935	155350596	ASH1L	ASH1L	DRIVER	False	protein_coding	-	9661
chr1	155351705	155355630	ASH1L	ASH1L	DRIVER	False	protein_coding	-	3925
chr1	155356315	155358749	ASH1L	ASH1L	DRIVER	False	protein_coding	-	2434
chr1	155359300	155361409	ASH1L	ASH1L	DRIVER	False	protein_coding	-	2109
chr1	155369146	155371983	ASH1L	ASH1L	DRIVER	False	protein_coding	-	2837
chr1	155377280	155381131	ASH1L	ASH1L	DRIVER	False	protein_coding	-	3851
chr1	155394458	155396553	ASH1L	ASH1L	DRIVER	False	protein_coding	-	2095
chr1	155414743	155416923	ASH1L	ASH1L	DRIVER	False	protein_coding	-	2180
chr1	155437326	155441593	ASH1L	ASH1L	DRIVER	False	protein_coding	-	4267
chr1	155458796	155460898	ASH1L	ASH1L	DRIVER	False	protein_coding	-	2102
chr1	155461452	155463599	ASH1L	ASH1L	DRIVER	False	protein_coding	-	2147
chr1	155476885	155483449	ASH1L	ASH1L	DRIVER	False	protein_coding	-	6564
chr1	155519224	155522618	ASH1L	ASH1L	DRIVER	False	protein_coding	-	3394
chr1	155561152	155564162	ASH1L	ASH1L	DRIVER	False	protein_coding	-	3010
chr1	155748658	155755488	GON4L	GON4L	DRIVER	False	protein_coding	-	6830
chr1	155755540	155759034	GON4L	GON4L	DRIVER	False	protein_coding	-	3494
chr1	155759443	155768541	GON4L	GON4L	DRIVER	False	protein_coding	-	9098
chr1	155770066	155778820	GON4L	GON4L	DRIVER	False	protein_coding	-	8754
chr1	155782985	155786374	GON4L	GON4L	DRIVER	False	protein_coding	-	3389
chr1	155794049	155796151	GON4L	GON4L	DRIVER	False	protein_coding	-	2102
chr1	155803948	155806141	GON4L	GON4L	DRIVER	False	protein_coding	-	2193
chr1	155812633	155817262	GON4L	GON4L	DRIVER	False	protein_coding	-	4629
chr1	155819605	155823476	GON4L	GON4L	DRIVER	False	protein_coding	-	3871
chr1	155825836	155828028	GON4L	GON4L	DRIVER	False	protein_coding	-	2192
chr1	155830534	155833950	GON4L	GON4L	DRIVER	False	protein_coding	-	3416
chr1	155852275	155854809	GON4L	GON4L	DRIVER	False	protein_coding	-	2534
chr1	155856146	155858295	GON4L	GON4L	DRIVER	False	protein_coding	-	2149
chr1	155858303	155860400	GON4L	GON4L	DRIVER	False	protein_coding	-	2097
chr1	157829910	157837155	CD5L	CD5L	PASSENGER	False	protein_coding	-	7245
chr1	157838383	157840410	CD5L	CD5L	PASSENGER	False	protein_coding	-	2027
chr1	157840673	157842808	CD5L	CD5L	PASSENGER	False	protein_coding	-	2135
chr1	157845710	157847918	CD5L	CD5L	PASSENGER	False	protein_coding	-	2208
chr1	157897199	157899256	CD5L	CD5L	PASSENGER	False	protein_coding	-	2057
chr1	158609703	158616403	SPTA1	SPTA1	PASSENGER	False	protein_coding	-	6700
chr1	158616536	158624192	SPTA1	SPTA1	PASSENGER	False	protein_coding	-	7656
chr1	158625145	158628723	SPTA1	SPTA1	PASSENGER	False	protein_coding	-	3578
chr1	158633542	158641007	SPTA1	SPTA1	PASSENGER	False	protein_coding	-	7465
chr1	158641410	158658694	SPTA1	SPTA1	PASSENGER	False	protein_coding	-	17284
chr1	158660286	158663945	SPTA1	SPTA1	PASSENGER	False	protein_coding	-	3659
chr1	158665315	158673196	SPTA1	SPTA1	PASSENGER	False	protein_coding	-	7881
chr1	158673328	158679534	SPTA1	SPTA1	PASSENGER	False	protein_coding	-	6206
chr1	158679582	158687715	SPTA1	SPTA1	PASSENGER	False	protein_coding	-	8133
chr1	169510950	169516745	F5	F5	DRIVER	False	protein_coding	-	5795
chr1	169517411	169521664	F5	F5	DRIVER	False	protein_coding	-	4253
chr1	169522196	169532022	F5	F5	DRIVER	False	protein_coding	-	9826
chr1	169535505	169537680	F5	F5	DRIVER	False	protein_coding	-	2175
chr1	169539293	169547592	F5	F5	DRIVER	False	protein_coding	-	8299
chr1	169548800	169553734	F5	F5	DRIVER	False	protein_coding	-	4934
chr1	169554181	169557867	F5	F5	DRIVER	False	protein_coding	-	3686
chr1	169558152	169561766	F5	F5	DRIVER	False	protein_coding	-	3614
chr1	169571220	169573343	F5	F5	DRIVER	False	protein_coding	-	2123
chr1	169581430	169583522	F5	F5	DRIVER	False	protein_coding	-	2092
chr1	169585228	169587588	F5	F5	DRIVER	False	protein_coding	-	2360
chr1	175314193	175325519	TNR	TNR	PASSENGER	True	protein_coding	-	11326
chr1	175329073	175331235	TNR	TNR	PASSENGER	True	protein_coding	-	2162
chr1	175334710	175338679	TNR	TNR	PASSENGER	True	protein_coding	-	3969
chr1	175353390	175357462	TNR	TNR	PASSENGER	True	protein_coding	-	4072
chr1	175358181	175360731	TNR	TNR	PASSENGER	True	protein_coding	-	2550
chr1	175361662	175368297	TNR	TNR	PASSENGER	True	protein_coding	-	6635
chr1	175378551	175380737	TNR	TNR	PASSENGER	True	protein_coding	-	2186
chr1	175385031	175387301	TNR	TNR	PASSENGER	True	protein_coding	-	2270
chr1	175390287	175392438	TNR	TNR	PASSENGER	True	protein_coding	-	2151
chr1	175392779	175394895	TNR	TNR	PASSENGER	True	protein_coding	-	2116
chr1	175395543	175397807	TNR	TNR	PASSENGER	True	protein_coding	-	2264
chr1	175402139	175404616	TNR	TNR	PASSENGER	True	protein_coding	-	2477
chr1	175405215	175407777	TNR	TNR	PASSENGER	True	protein_coding	-	2562
chr1	175527268	175529369	TNR	TNR	PASSENGER	True	protein_coding	-	2101
chr1	175742225	175744595	TNR	TNR	PASSENGER	True	protein_coding	-	2370
chr1	176462170	176464418	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2248
chr1	176536302	176538349	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2047
chr1	176552487	176558241	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	5754
chr1	176593523	176596595	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	3072
chr1	176669969	176672115	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2146
chr1	176689136	176693318	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	4182
chr1	176694737	176696859	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2122
chr1	176698099	176700589	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2490
chr1	176701606	176703735	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2129
chr1	176705358	176707450	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2092
chr1	176708982	176712981	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	3999
chr1	176738625	176741196	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2571
chr1	176764665	176766837	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2172
chr1	176768606	176772180	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	3574
chr1	176788808	176792482	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	3674
chr1	176792559	176794669	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2110
chr1	176799060	176801132	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2072
chr1	176835634	176837802	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2168
chr1	176839172	176841271	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	2099
chr1	176841379	176846601	PAPPA2	PAPPA2	PASSENGER	False	protein_coding	+	5222
chr1	179953673	179956142	CEP350	CEP350	DRIVER	False	protein_coding	+	2469
chr1	179967868	179970483	CEP350	CEP350	DRIVER	False	protein_coding	+	2615
chr1	179985168	179993221	CEP350	CEP350	DRIVER	False	protein_coding	+	8053
chr1	179995552	179998547	CEP350	CEP350	DRIVER	False	protein_coding	+	2995
chr1	180002173	180004287	CEP350	CEP350	DRIVER	False	protein_coding	+	2114
chr1	180005453	180007567	CEP350	CEP350	DRIVER	False	protein_coding	+	2114
chr1	180010928	180016970	CEP350	CEP350	DRIVER	False	protein_coding	+	6042
chr1	180017200	180025745	CEP350	CEP350	DRIVER	False	protein_coding	+	8545
chr1	180030319	180032494	CEP350	CEP350	DRIVER	False	protein_coding	+	2175
chr1	180032861	180035082	CEP350	CEP350	DRIVER	False	protein_coding	+	2221
chr1	180035925	180038171	CEP350	CEP350	DRIVER	False	protein_coding	+	2246
chr1	180040137	180045173	CEP350	CEP350	DRIVER	False	protein_coding	+	5036
chr1	180047535	180049705	CEP350	CEP350	DRIVER	False	protein_coding	+	2170
chr1	180051223	180055502	CEP350	CEP350	DRIVER	False	protein_coding	+	4279
chr1	180061219	180063366	CEP350	CEP350	DRIVER	False	protein_coding	+	2147
chr1	180064114	180072135	CEP350	CEP350	DRIVER	False	protein_coding	+	8021
chr1	180072785	180076221	CEP350	CEP350	DRIVER	False	protein_coding	+	3436
chr1	180077462	180081661	CEP350	CEP350	DRIVER	False	protein_coding	+	4199
chr1	180083017	180088717	CEP350	CEP350	DRIVER	False	protein_coding	+	5700
chr1	180089713	180100582	CEP350	CEP350	DRIVER	False	protein_coding	+	10869
chr1	180109996	180115880	CEP350	CEP350	DRIVER	False	protein_coding	+	5884
chr1	182408191	182410360	RGSL1	RGSL1	PASSENGER	False	protein_coding	+	2169
chr1	182446885	182451576	RGSL1	RGSL1	PASSENGER	False	protein_coding	+	4691
chr1	182452381	182455040	RGSL1	RGSL1	PASSENGER	False	protein_coding	+	2659
chr1	182457305	182461756	RGSL1	RGSL1	PASSENGER	False	protein_coding	+	4451
chr1	182470281	182475542	RGSL1	RGSL1	PASSENGER	False	protein_coding	+	5261
chr1	182487284	182490202	RGSL1	RGSL1	PASSENGER	False	protein_coding	+	2918
chr1	182491954	182494129	RGSL1	RGSL1	PASSENGER	False	protein_coding	+	2175
chr1	182506200	182508266	RGSL1	RGSL1	PASSENGER	False	protein_coding	+	2066
chr1	182521003	182523109	RGSL1	RGSL1	PASSENGER	False	protein_coding	+	2106
chr1	182526578	182528772	RGSL1	RGSL1	PASSENGER	False	protein_coding	+	2194
chr1	182529243	182533791	RGSL1	RGSL1	PASSENGER	False	protein_coding	+	4548
